"","OrganizationVsSelf","OrganizationVsSelf2","TDDPermitted","InHouseVsConsultancy","IndividualVsManyProjects","CreatingVsMaintaining","YearsExperience","PracticeTDD","WantTDD","Attitude","AttitudeQuality1","AttitudeTime","AttitudeQuality2","AttitudeMaintainability","AttitudeEfficiency","AttitudeChangeability","SubjectiveNorm1","SubjectiveNorm2","SubjectiveNormTime","SubjectiveNormMaintainability","SubjectiveNormQuality","SubjectiveNormChangeability","TeamTDD","UnitTestDifficulty","TDDDifficulty","TDDExperience","Intention","AttitudeTimeOriginal","SubjectiveNormTimeOriginal","SubjectiveNorm","AttitudeQuality"
"34","Organization","","Yes","Software Development Consultancy","Individual product","Both",7,"Yes","N/A",6,6,6,6,6,5,6,7,5,7,7,7,7,7,5,5,7,1,2,1,6,6
"35","Organization","","Yes","In-house software developer","Many projects","Maintaining existing applications",5,"Yes","N/A",7,7,7,6,6,4,6,4,7,7,4,4,4,4,1,1,7,1,1,1,5.5,6.5
"36","Organization","","Yes","In-house software developer","Many projects","Both",20,"Yes","N/A",7,7,6,6,7,5,7,6,7,7,7,7,7,7,2,1,7,1,2,1,6.5,6.5
"37","Organization","","Yes","In-house software developer","Individual product","Maintaining existing applications",5,"Yes","N/A",6,6,5,6,4,5,3,5,5,6,6,6,6,4,1,2,6,1,3,2,5,6
"38","Organization","","Yes","Software Development Consultancy","Many projects","Both",6,"Yes","N/A",6,6,3,7,5,5,5,4,7,4,6,6,6,6,2,6,5,1,5,4,5.5,6.5
"39","Organization","","Yes","In-house software developer","Individual product","Maintaining existing applications",12,"Yes","N/A",5,6,4,6,4,5,5,3,6,4,4,4,4,5,2,2,3,1,4,4,4.5,6
"40","Organization","","Yes","Software Development Consultancy","Many projects","Both",15,"Yes","N/A",7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,1,7,1,1,1,7,7
"41","Organization","","Yes","In-house software developer","Many projects","Both",1,"Yes","N/A",7,7,5,7,7,7,7,7,7,7,7,6,7,4,5,6,7,1,3,1,7,7
"42","Organization","","Yes","Software Development Consultancy","Many projects","Creating new greenfield applications",10,"Yes","Yes",7,7,7,7,7,7,7,5,5,6,4,4,4,1,4,5,4,1,1,2,5,7
"43","Organization","","Yes","Software Development Consultancy","Individual product","Creating new greenfield applications",15,"Yes","N/A",7,7,7,6,7,7,7,4,3,5,5,4,4,2,1,1,6,1,1,3,3.5,6.5
